(Iter. 1) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}
(Iter. 2) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}
(Iter. 3) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}
(Iter. 4) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}
(Iter. 5) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}
(Iter. 6) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}
(Iter. 7) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}
(Iter. 8) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}
(Iter. 9) BestSol = Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}

Final Solution: cost=[33678.00], size=[5], elements={81, 197, 30, 158, 142}

--- Finished in 353.51 seconds ---
