(Iter. 1) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}
(Iter. 2) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}
(Iter. 3) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}
(Iter. 4) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}
(Iter. 5) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}
(Iter. 6) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}
(Iter. 7) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}
(Iter. 8) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}
(Iter. 9) BestSol = Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}

Final Solution: cost=[33678.00], size=[8], elements={128, 98, 67, 195, 134, 10, 106, 108}

--- Finished in 35.83 seconds ---
