(Iter. 1) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 2) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 3) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 4) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 5) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 6) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 7) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 8) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 9) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 10) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 11) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 12) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 13) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 14) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 15) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 16) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 17) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 18) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 19) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 20) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 21) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 1) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 2) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 3) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 4) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 5) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 6) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 7) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 8) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 9) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 10) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 11) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 12) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 13) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 14) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 15) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 16) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 17) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 18) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 19) BestSol = Solution: cost=[0.00], size=[0], elements=set()
(Iter. 20) BestSol = Solution: cost=[0.00], size=[0], elements=set()

Final Solution: cost=[0.00], size=[50], elements=set()

--- Finished in 0.77 seconds ---
