(Iter. 1) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}
(Iter. 2) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}
(Iter. 3) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}
(Iter. 4) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}
(Iter. 5) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}
(Iter. 6) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}
(Iter. 7) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}
(Iter. 8) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}
(Iter. 9) BestSol = Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}

Final Solution: cost=[-598.00], size=[5], elements={17, 2, 37, 24, 27}

--- Finished in 0.67 seconds ---
